AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
-203,-111,-43,-125,82,92,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1007,NA,14827,2,legacy,1024,2,48000,-16,experiment,4,C_120CON,6,even,tire,705,NA,705,NA,NA,708,40607,41876,40521,36356,15536,41632,40520,41615,NA,NA,36224,36356,39770,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-172.9733,-76.2928
-206,-94,-72,-151,79,112,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,1,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,880,NA,14827,2,legacy,1024,2,48000,-16,experiment,1,C_92CON,6,even,electric iron,705,NA,705,NA,42960,708,48781,49921,48688,43880,15536,49675,48688,49663,42407,41906,36224,43880,47938,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-153.6485,-82.3606
142,243,-21,-184,163,101,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3022,NA,14827,2,legacy,1024,2,48000,-16,experiment,9,C_62INCON,6,even,shampoo,705,NA,705,NA,51302,708,54855,58154,54760,52224,15536,57909,54760,57879,50439,49939,36224,52224,54010,EyeTribe Visual Search Experiment,0,0,0,yes,1680,44.3525,106.8962
146,254,110,-44,154,108,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,0,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1587,NA,14827,2,legacy,1024,2,48000,-16,experiment,10,C_68CON,6,even,dish soap,705,NA,705,NA,59360,708,63379,65244,63289,60269,15536,64998,63288,64967,58674,58174,36224,60269,62538,EyeTribe Visual Search Experiment,0,0,0,yes,1680,196.8394,0.3835
106,277,98,-19,117,171,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1915,NA,14827,2,legacy,1024,2,48000,-16,experiment,2,C_104INCON,6,even,belt,705,NA,705,NA,66572,708,68971,71160,68888,67476,15536,70915,68888,70887,65763,65263,36224,67476,68138,EyeTribe Visual Search Experiment,0,0,0,yes,1680,210.8187,41.3781
58,188,184,72,112,130,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1010,NA,14827,2,legacy,1024,2,48000,-16,experiment,5,C_12INCON,6,even,dish scrubber,705,NA,705,NA,72496,708,76266,77540,76177,73411,15536,77292,76176,77279,71681,71181,36224,73410,75426,EyeTribe Visual Search Experiment,0,0,0,yes,1680,81.6617,173.0927
136,265,-19,-160,141,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,1,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1162,NA,14827,2,legacy,1024,2,48000,-16,experiment,6,C_20CON,6,even,egg,705,NA,705,NA,78793,708,81971,83410,81880,79709,15536,83163,81880,83135,78062,77562,36224,79709,81130,EyeTribe Visual Search Experiment,0,0,0,yes,1680,196.9749,-100.8308
-252,-113,124,-11,135,139,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,995,NA,14827,2,legacy,1024,2,48000,-16,experiment,8,C_4INCON,6,even,brush,705,NA,705,NA,84712,708,87579,88849,87487,85626,15536,88603,87487,88575,83927,83427,36224,85626,86737,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-257.8991,60.6627
115,238,184,54,130,123,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,0,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1447,NA,14827,2,legacy,1024,2,48000,-16,experiment,7,C_43CON,6,even,clock,705,NA,705,NA,89886,708,93174,94889,93088,90796,15536,94643,93088,94623,89376,88876,36224,90795,92338,EyeTribe Visual Search Experiment,0,0,0,yes,1680,189.0878,102.6698
23,126,-88,-160,72,103,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 14:40,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Maximov.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,941,NA,14827,2,legacy,1024,2,48000,-16,experiment,3,C_10INCON,6,even,bread knife,705,NA,705,NA,96167,708,100207,101413,100120,97080,15536,101167,100120,101151,95409,94909,36224,97080,99369,EyeTribe Visual Search Experiment,0,0,0,yes,1680,47.3892,-109.3407
